(156, 220)
(159, 214)
(178, 215)
(205, 163)
(209, 157)
(211, 155)
(217, 155)
(229, 157)
(256, 164)
(251, 165)
(259, 171)
(253, 170)
(259, 175)
(253, 175)
(256, 177)
(251, 179)
(257, 182)
(271, 182)
(265, 180)
(275, 180)
(267, 175)
(278, 179)
(272, 173)
(301, 180)
(313, 187)
(310, 178)
(316, 181)
(324, 186)
(325, 183)
(334, 190)
(347, 198)
(353, 203)
(353, 210)
(350, 216)
(346, 227)
(341, 238)
(340, 243)
(337, 255)
(339, 266)
(341, 254)
(342, 266)
(343, 261)
(348, 259)
(350, 260)
(350, 270)
(348, 278)
(351, 275)
(351, 279)
(353, 278)
(354, 280)
(354, 282)
(356, 279)
(357, 284)
(358, 281)
(358, 285)
(357, 286)
(356, 295)
(355, 291)
(354, 293)
(353, 299)
(351, 296)
(350, 300)
(350, 309)
(348, 305)
(348, 312)
(347, 314)
(346, 318)
(345, 315)
(344, 321)
(343, 330)
(341, 337)
(333, 346)
(327, 359)
(327, 354)
(325, 359)
(324, 356)
(319, 361)
(321, 355)
(316, 361)
(316, 356)
(313, 361)
(314, 353)
(307, 361)
(311, 353)
(305, 359)
(306, 353)
(290, 370)
(294, 364)
(278, 380)
(275, 382)
(268, 384)
(266, 380)
(266, 369)
(269, 364)
(273, 357)
(274, 351)
(272, 343)
(267, 332)
(266, 335)
(262, 331)
(262, 333)
(258, 327)
(258, 329)
(255, 325)
(255, 328)
(251, 322)
(250, 324)
(246, 321)
(246, 323)
(241, 319)
(238, 317)
(232, 315)
(228, 319)
(222, 317)
(220, 313)
(217, 309)
(210, 309)
(203, 308)
(203, 310)
(194, 312)
(187, 313)
(181, 316)
(177, 321)
(174, 329)
(172, 335)
(172, 344)
(175, 341)
(167, 351)
(162, 344)
(162, 337)
(160, 341)
(160, 333)
(158, 336)
(157, 329)
(155, 321)
(153, 313)
(150, 307)
(150, 300)
(150, 291)
(146, 305)
(146, 316)
(145, 324)
(146, 334)
(146, 345)
(153, 354)
(158, 367)
(163, 375)
(168, 388)
(170, 395)
(174, 401)
(176, 398)
(178, 404)
(178, 404)
(181, 404)
(187, 410)
(195, 411)
(204, 418)
(211, 424)
(214, 422)
(221, 423)
(225, 426)
(230, 424)
(233, 428)
(237, 425)
(245, 425)
(250, 423)
(256, 420)
(266, 415)
(272, 412)
(277, 415)
(283, 409)
(291, 405)
(297, 401)
(305, 397)
(313, 391)
(318, 386)
(321, 381)
(328, 373)
(334, 365)
(337, 359)
(344, 341)
(351, 330)
(352, 322)
(356, 314)
(360, 307)
(365, 312)
(373, 317)
(382, 318)
(383, 317)
(390, 306)
(391, 311)
(404, 285)
(403, 294)
(415, 267)
(422, 239)
(424, 249)
(432, 229)
(432, 217)
(428, 203)
(424, 195)
(429, 201)
(427, 188)
(423, 178)
(430, 188)
(428, 177)
(424, 168)
(421, 163)
(412, 157)
(406, 150)
(397, 141)
(391, 132)
(390, 123)
(394, 128)
(386, 118)
(371, 110)
(365, 102)
(355, 90)
(363, 94)
(353, 87)
(335, 86)
(322, 81)
(333, 84)
(323, 77)
(314, 77)
(302, 77)
(295, 74)
(304, 75)
(281, 67)
(269, 66)
(254, 69)
(244, 74)
(247, 71)
(240, 74)
(233, 74)
(230, 74)
(223, 71)
(231, 70)
(225, 69)
(214, 69)
(207, 73)
(202, 78)
(198, 83)
(193, 93)
(185, 120)
(190, 87)
(181, 105)
(179, 111)
(174, 142)
(171, 132)
(168, 138)
(174, 156)
(161, 205)
(157, 208)
(157, 211)
(156, 221)
(158, 214)
(177, 215)
(206, 162)
